date,statistic,depth,temp_surface,salinity_surface,DO_perc_surface,DO_surface,pH_surface,temp_bottom,salinity_bottom,DO_perc_bottom,DO_bottom,pH_bottom,nitrate,nitrite,ammonia,phosphate,silica,turbidity
2014-09-04,N,0,10,10,0,0,10,10,10,0,0,10,0,0,0,0,0,0
2014-09-08,Mean,111.3,29.76,29.94,103.81,6.81,7.96,29.17,33.86,115.8,7.39,8.04,0.3,0.0046,0,0.15,6.5,7.5
2014-09-08,Stdv,14.38,1.88,4.2,10.19,0.57,0.08,0.29,1.59,16.72,1.03,0.06,0.35,0.0022,0,0.09,4.7,6
2014-09-08,Min,99,28.13,22.11,82.9,6.02,7.84,28.74,32.27,101.1,6.43,7.98,0,0,0,0.02,2,1
2014-09-08,Max,147,34.85,34.86,123.6,8.14,8.1,29.69,37.3,147.5,9.37,8.16,1.02,0.008,0.01,0.3,17,18
2014-09-08,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-09-11,Mean,67.5,27.2,26.88,76.38,5.19,7.72,28.46,33.12,56.95,3.68,7.76,1.05,0.0036,0,0.87,8.8,7.5
2014-09-11,Stdv,9.87,0.64,6.21,7.64,0.51,0.22,0.26,1.11,15.58,1.04,0.11,0.29,0.0037,0.01,0.61,3.8,7.3
2014-09-11,Min,58,26.36,13.01,61.2,4.61,7.13,28.03,30.99,31,1.87,7.53,0.63,0,0,0.28,4,0
2014-09-11,Max,90,27.89,32.67,90.1,6.34,7.87,28.86,34.38,75,4.92,7.89,1.55,0.009,0.02,2.27,17,23
2014-09-11,N,10,10,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10
2014-09-16,Mean,82.6,28.6,30.82,55.65,3.66,7.69,29.13,33.29,48.26,3.2,7.71,0.48,0.0039,0.05,0.22,4.9,7
2014-09-16,Stdv,12.71,0.51,2.08,12.99,0.84,0.11,0.5,1.24,18.41,1.07,0.12,0.37,0.0024,0.08,0.17,2.1,4.9
2014-09-16,Min,66,27.79,27.51,38.2,2.47,7.51,28.34,31.38,30.5,2,7.58,0,0,0,0,1,0
2014-09-16,Max,113,29.31,34.34,82.7,5.33,7.9,29.77,34.99,79.3,5,7.92,0.99,0.007,0.23,0.5,8,15
2014-09-16,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-09-17,Mean,64.8,28.54,30.54,61.17,4.06,7.73,29.17,31.65,50.21,3.27,7.68,0.84,0.0036,0,0.68,3.9,1.4
2014-09-17,Stdv,12.82,0.97,2.14,15.67,1.01,0.09,0.97,1.51,17.85,1.15,0.13,0.31,0.0024,0,0.7,1.7,3.1
2014-09-17,Min,50,27.43,26.71,33,2.13,7.61,27.86,29.75,25.4,1.63,7.48,0.27,0,0,0.16,2,0
2014-09-17,Max,94,29.85,34.77,82.5,5.21,7.91,30.73,34.82,82,5.23,7.92,1.27,0.006,0,2.2,7,9
2014-09-17,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10
2014-09-22,Mean,96.9,30.51,30.75,115.02,7.23,7.95,30.61,33.86,125.28,7.62,8.01,0.77,0.0026,0,0.11,5.7,4.5
2014-09-22,Stdv,9.05,0.97,5.43,13.14,0.71,0.07,0.41,0.73,18.39,0.78,0.06,0.32,0.002,0.01,0.05,3.5,5.6
2014-09-22,Min,87,29.01,19.27,93.6,6.41,7.86,30.12,32.85,102.8,6.43,7.92,0.28,0,0,0.02,2,0
2014-09-22,Max,117,32.78,34.92,133.4,8.45,8.07,31.38,34.98,162.1,9.21,8.09,1.29,0.006,0.02,0.18,13,15
2014-09-22,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-09-25,Mean,59.1,27.18,27.71,83.27,5.64,7.74,28.17,30.26,72.11,4.79,7.77,0.74,0.0042,0.02,0.38,4.8,9.6
2014-09-25,Stdv,8.56,0.65,4.29,10.31,0.85,0.13,1.53,2.62,17.58,1.17,0.06,0.32,0.0076,0.02,0.51,1.9,13.6
2014-09-25,Min,49,26.16,20.93,61.6,4.03,7.41,26.85,25.61,32.7,2.09,7.66,0.22,0,0,0,2,0
2014-09-25,Max,80,28.11,32.7,96,6.78,7.85,32.32,32.72,90,6.08,7.86,1.47,0.025,0.05,1.57,7,42
2014-09-25,N,10,10,10,10,10,10,10,9,9,10,10,10,10,10,8,10,10
